label,h1,h2,h3,h4,h5,h6,h7
8,0.0010076782210475237,1.1420097452449558e-07,2.1373066579626215e-12,4.702616804427174e-12,1.3424400776493123e-23,9.141603511929488e-16,-6.4852063745680705e-24
8,0.0010999726387908983,1.6517490073557652e-07,2.818763097528443e-12,2.4924886960602337e-12,-2.761316383646464e-25,7.391712977136629e-16,6.600843149277624e-24
8,0.001618113739354584,2.8814938827347015e-07,2.910558675696069e-11,4.052248336089501e-11,1.2838331844675258e-21,1.781192016488162e-14,5.3710520888354435e-22
8,0.0017149885635774928,3.8807789332270933e-07,1.737012707807438e-10,1.851049187001204e-10,3.319161677070972e-20,1.129873861571329e-13,1.2160900562461232e-23
8,0.0009668654405337368,9.088922030681166e-08,2.725572402952355e-12,1.7097071142344446e-12,2.7440201768341014e-24,5.092234696340769e-16,-2.4681549415395042e-24
8,0.000994164364922514,8.72445178163329e-08,1.560655658065804e-13,3.655958278312107e-13,8.460956350738613e-26,6.231093991554798e-18,2.1620992185378428e-26
8,0.00128648487399367,1.687349056858914e-07,7.553618193930473e-11,1.341698963602536e-11,2.7792769417341526e-22,5.280159745180838e-15,3.243397733785538e-22
8,0.0014366895994513376,1.3456679285696973e-07,9.75736488029247e-11,4.5329709019694137e-11,1.105375601395573e-21,1.4701722809367785e-14,-2.8047134016871582e-21
8,0.0010230852589925294,1.5963995723281727e-07,2.2249402790694804e-12,3.475273464075075e-13,-2.395483861892322e-25,1.2939666689760705e-16,1.8974543821379402e-25
8,0.0016803258232724581,2.782135500336137e-07,4.270628893072772e-12,3.1394210512730224e-10,9.985143482818528e-21,1.3289430529443775e-13,-5.69550745181986e-21
8,0.001146395980800677,1.88323696848684e-07,2.1858981769206253e-12,4.5850105511269205e-12,1.398259724276244e-23,1.8313306341487556e-15,-3.896200898482952e-24
8,0.0014764897940827857,2.63827365137169e-07,5.3078890712952707e-11,3.7885848395602035e-11,-4.1306129115343716e-22,1.2677567665506417e-14,-1.6479551773066693e-21
8,0.0016439403687137596,6.369964667728917e-07,1.9166973293766842e-10,1.426740524567616e-10,5.646110602121393e-21,5.4429558326746583e-14,2.2908066908415728e-20
8,0.001177407868460024,3.8295744579454944e-07,1.2350499565810656e-11,6.382172796912013e-12,1.6638409950986547e-23,3.3979415860518993e-15,5.416449831005393e-23
8,0.0014174058728875971,2.5886268957067113e-07,5.419092331189601e-13,1.0467801345590854e-11,-1.8487770394762317e-23,3.2095834760032565e-15,-1.6726521689082122e-23
8,0.0012344521602557117,7.009397053309128e-08,8.752660278326609e-12,2.6368057648157623e-11,-1.2832470015570598e-22,-5.069440878318109e-15,-3.794675445782363e-22
8,0.0012328436766657807,1.4159265331368145e-07,5.559560280895127e-12,2.330511523983164e-11,-1.6572312462099968e-22,8.397853778075388e-15,-2.0713986725359722e-22
8,0.0015907918237035678,4.987160970525089e-07,4.741738621716263e-11,6.317787816342226e-12,8.004279488316098e-23,2.6781578479281386e-15,-7.450127372190995e-23
8,0.0009197424311506998,7.031423833580996e-08,2.8077872269996832e-11,1.88910591706259e-11,3.978102428361992e-22,4.856680479025327e-15,-1.7617997944741318e-22
8,0.001536862788358676,5.035067932433609e-07,1.7551160287016597e-11,6.23213378147885e-12,-6.151843165313183e-23,2.191076475922251e-15,2.1535829051896738e-23
8,0.0010864478048744775,2.787065160212004e-07,7.028949602573218e-12,7.743967527638208e-12,-5.649591302108339e-23,-3.697164372712757e-15,-8.511384716545466e-24
8,0.0012681502085879497,2.1087828580885772e-07,2.819463291959047e-11,1.934823289697726e-13,3.8809387276276435e-25,-1.1887145617380312e-17,2.3151550132101845e-25
8,0.0015042436337814593,9.636858754621461e-08,2.3586904546190375e-11,1.0649017426250071e-12,-3.882840909848301e-24,-2.0393350852161964e-16,3.661619000030211e-24
8,0.0016101842486598733,8.434189245418447e-07,1.1855063764407024e-10,1.823202836201599e-12,1.3619255016636525e-23,-1.5991389115745486e-15,-2.3086495074473094e-23
8,0.0011098305398450489,1.5904051961266878e-07,3.9594604394976425e-13,8.896291247082398e-12,1.157569895744875e-23,1.6450841216718246e-15,1.2032625403877816e-23
8,0.0013769735133077137,2.3286927164195356e-07,1.790092383356961e-11,1.1273770269498664e-11,-1.2672712449800896e-22,-4.617641348796794e-15,-9.792842837716205e-23
8,0.0021110527823452276,1.4911455802507247e-06,6.341373584051942e-11,2.8928758787963964e-12,-7.156913059192867e-24,-3.3679757319518623e-15,-3.852279963172257e-23
8,0.0011577766939450465,2.763523109800958e-07,1.1757163740586225e-12,4.234112609348361e-12,4.8622558785456974e-24,9.82570676018026e-16,8.099671424943413e-24
8,0.001170365734347032,1.1933142128532092e-07,2.975750075786887e-11,2.4740915352427587e-12,-2.0510286639805978e-23,-7.876276215339519e-16,-5.475643764106776e-24
8,0.0011717837731057327,2.553023183501982e-07,8.809285245683263e-12,9.601081710474092e-12,7.323135968306625e-23,4.710838801325991e-15,-4.933249082970478e-23
8,0.0016951531435649815,5.037587379259664e-07,1.0896232630905308e-10,1.8323268624482127e-11,-8.156300886137375e-22,-1.2866693719392645e-14,-7.121968006073018e-23
8,0.0012120009064064156,1.363333683731879e-07,2.3688980335596568e-11,4.520769307780724e-11,4.958683188661669e-22,1.4477905657853576e-14,-1.3938437260517987e-21
8,0.001217256904067225,2.2310929391306506e-07,4.672000986555984e-12,1.4141407367608777e-11,-1.144750438836988e-22,6.2461211379257175e-15,1.0384474092217386e-23
8,0.0012114357917982956,4.232651605034111e-09,3.459869944946785e-11,3.3521514029526534e-11,-6.957267874917795e-22,-1.2883805350283802e-15,-9.051093816009674e-22
8,0.001737482762392914,3.923714209860934e-07,1.5896020252189724e-10,4.930632729827417e-11,-2.5401522673270872e-21,1.4581638507206286e-14,-3.5499400531704824e-21
8,0.0013297964417026344,2.9808599948057983e-09,2.203940955323356e-10,8.500708649825365e-11,1.017184495549821e-20,1.387633725743601e-15,5.649508778860229e-21
8,0.0011860399284778804,1.4771273411707595e-07,7.35811451870174e-11,8.409489960115208e-11,5.43673481058539e-21,3.139834288453262e-14,-3.768518686855734e-21
8,0.0010692620473308175,7.971564053208335e-08,1.741695011243465e-11,1.9376726350717815e-12,3.382868630747847e-24,5.373464589934839e-16,1.073624283505045e-23
8,0.0011606106198013071,1.0747746457240609e-07,4.265268860334252e-11,1.4557559015552237e-12,4.020326143521966e-24,2.4989934435016754e-16,-1.0743542542526877e-23
8,0.0015771440195847153,1.7407931100305662e-08,1.3511621298892452e-10,6.00940848502715e-12,8.741643585257602e-23,-5.817293627805012e-16,1.4724461941395592e-22
8,0.0010869746182506812,1.4278301626252036e-07,1.8368210725199917e-11,1.9812282442202703e-11,2.572302383078109e-22,4.109867476335963e-15,-2.769103851791866e-22
8,0.001041836042500207,1.3471238210189193e-07,5.229874568269075e-12,4.842225661598513e-12,-1.3665879007169788e-24,8.129839240167757e-16,-2.4329272642539978e-23
8,0.0008482277247638287,1.8096942877948625e-08,1.785337351866654e-12,4.02992672174208e-12,9.239861944661036e-24,5.326197248281116e-16,-5.6098469940986455e-24
8,0.001093719155846819,1.3981371378725492e-07,6.934818832403011e-12,1.1371958308910987e-11,7.351654864808136e-23,3.745390225787122e-15,-6.923817593941218e-23
8,0.0009566726982532217,4.413229666985401e-08,2.3214091975064647e-12,1.1631315652670812e-11,-2.6671539051787567e-23,-1.0053529204678094e-15,-5.42358989110861e-23
8,0.0014298796723644998,4.7309787886148153e-07,1.1143540617838284e-11,1.3995045555286925e-11,1.3711670581696947e-22,9.60127971934044e-15,-1.083717325482259e-22
8,0.0010263654886349639,1.0963027208852219e-07,3.738228442998228e-11,1.114612530671103e-11,1.8535466545418873e-22,6.629219567891669e-16,-1.319424602051621e-22
8,0.0011332551160106918,1.2259208335059707e-07,1.4104501543514769e-11,8.015752706293003e-12,7.223458834367323e-23,1.6007155785072457e-15,-4.523729030044552e-23
8,0.001502981861041283,1.6825188945892482e-07,5.438850059699e-13,1.5645483251868508e-11,-3.18211975543114e-23,-6.322784250773514e-15,-3.271602517213655e-23
8,0.0013225699427797705,1.2652848907728075e-07,9.529541099737403e-12,5.092116392407068e-11,1.1216247630394787e-21,7.182272566100301e-15,1.4419846434404775e-23
8,0.001076226738509617,2.1845815864361396e-07,7.93164036103756e-11,5.217599121155785e-11,3.2177400054592965e-21,2.419249808741443e-14,-9.551382800278827e-22
8,0.0014679160276236604,3.2811846372771966e-07,3.389837407977468e-11,1.3877143574502037e-10,9.478925778718427e-21,6.717106694712877e-14,-8.60073736919959e-22
8,0.001638168082130356,5.412892462395881e-08,5.473384628082034e-13,2.339176406118241e-10,1.106403750028131e-21,4.4402665941832715e-14,2.4044674210181455e-21
8,0.0012566127283911953,3.205814918147105e-07,3.766791742686069e-12,4.378345279445889e-12,1.613300847271446e-23,2.388743942217385e-15,-7.475438835559351e-24
8,0.0019095717387025242,7.652778891134174e-07,4.059230129451594e-11,1.225215352268877e-10,-8.517444546479642e-21,8.90775747938055e-14,-1.4532485042534065e-21
8,0.0010897130773362784,1.702066119337934e-07,1.6019588176276817e-11,2.3133123575125534e-12,1.004632733370866e-23,-8.310396432331838e-16,9.868418075368642e-24
8,0.0009716999815420399,5.2033675609121907e-08,2.205744714224317e-11,9.680571038450388e-12,7.954518609121314e-23,1.7792589292235473e-15,-1.169746734229187e-22
8,0.0013414381811191452,4.551632525139445e-07,4.936099134597741e-11,2.7974306922300737e-11,-6.286101143262631e-22,1.8215998930168756e-14,-8.27914036550772e-22
